종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,"2,845",5,0.18,"131,642,454,485"
054620,APS홀딩스,KOSDAQ,금융,"7,960",70,0.89,"162,337,999,160"
265520,AP시스템,KOSDAQ,반도체,"16,700",450,2.77,"255,199,730,700"
211270,AP위성,KOSDAQ,통신장비,"10,850",-100,-0.91,"163,642,998,400"
032790,BNGT,KOSDAQ,정보기기,"4,075",0,0.00,"120,352,455,875"
013720,CBI,KOSDAQ,운송장비·부품,"1,270",-25,-1.93,"85,928,240,640"
035760,CJ ENM,KOSDAQ,방송서비스,"103,400","6,700",6.93,"2,267,474,523,600"
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,"31,850","-1,100",-3.34,"187,235,703,200"
051500,CJ프레시웨이,KOSDAQ,유통,"37,050","2,900",8.49,"439,842,261,300"
058820,CMG제약,KOSDAQ,제약,"2,680",80,3.08,"372,231,213,920"
023460,CNH,KOSDAQ,금융,"1,800",10,0.56,"66,960,000,000"
056730,CNT85,KOSDAQ,건설,"3,100",0,0.00,"109,591,063,600"
065770,CS,KOSDAQ,통신장비,"2,090",5,0.24,"40,569,261,700"
083660,CSA 코스믹,KOSDAQ,화학,"1,460",-30,-2.01,"57,598,741,780"
404950,DB금융스팩10호,KOSDAQ,금융,"2,110",5,0.24,"12,322,400,000"
367340,DB금융스팩8호,KOSDAQ,금융,"2,130",0,0.00,"12,886,500,000"
367360,DB금융스팩9호,KOSDAQ,금융,"2,155",10,0.47,"10,430,200,000"
068790,DMS,KOSDAQ,기계·장비,"4,880",15,0.31,"119,916,537,680"
241520,DSC인베스트먼트,KOSDAQ,금융,"4,085",20,0.49,"113,609,581,255"
245620,EDGC,KOSDAQ,기타서비스,"3,455",-95,-2.68,"290,482,341,605"
037370,EG,KOSDAQ,건설,"8,860",100,1.14,"76,417,251,920"
050120,ES큐브,KOSDAQ,유통,"3,740",-75,-1.97,"50,729,681,640"
084180,EV수성,KOSDAQ,기계·장비,"1,400",-95,-6.35,"86,088,207,800"
214270,FSN,KOSDAQ,출판·매체복제,"4,360",120,2.83,"121,663,846,720"
130500,GH신소재,KOSDAQ,섬유·의류,"4,930",-260,-5.01,"71,707,106,360"
900290,GRT,KOSDAQ,금융,"1,255",5,0.40,"84,555,625,000"
083450,GST,KOSDAQ,반도체,"20,650",200,0.98,"192,411,434,250"
297890,HB솔루션,KOSDAQ,기계·장비,"14,100","1,050",8.05,"235,654,047,300"
078150,HB테크놀러지,KOSDAQ,기계·장비,"2,175",155,7.67,"171,804,176,550"
195940,HK이노엔,KOSDAQ,제약,"41,350",0,0.00,"1,195,201,033,650"
028300,HLB,KOSDAQ,운송장비·부품,"44,200","2,350",5.62,"4,724,217,329,000"
067630,HLB생명과학,KOSDAQ,기타서비스,"13,450",500,3.86,"1,284,449,189,450"
047920,HLB제약,KOSDAQ,기타서비스,"15,200",100,0.66,"418,976,812,800"
115450,HLB테라퓨틱스,KOSDAQ,유통,"12,900",-100,-0.77,"404,224,221,900"
036640,HRS,KOSDAQ,화학,"6,000",-70,-1.15,"98,128,800,000"
335870,IBKS제12호스팩,KOSDAQ,금융,"2,445",0,0.00,"7,628,400,000"
351340,IBKS제13호스팩,KOSDAQ,금융,"2,065",-20,-0.96,"10,676,050,000"
388790,IBKS제16호스팩,KOSDAQ,금융,"2,225",0,0.00,"7,587,250,000"
405350,IBKS제17호스팩,KOSDAQ,금융,"2,320",-20,-0.85,"6,310,400,000"
095340,ISC,KOSDAQ,반도체,"32,000",150,0.47,"556,783,072,000"
099520,ITX-AI,KOSDAQ,통신장비,"1,285",0,0.00,"37,652,662,655"
950170,JTC,KOSDAQ,유통,"2,650",10,0.38,"92,764,620,050"
067290,JW신약,KOSDAQ,제약,"4,070",100,2.52,"187,738,668,590"
035900,JYP Ent.,KOSDAQ,오락·문화,"54,800","2,400",4.58,"1,945,262,561,600"
318000,KBG,KOSDAQ,화학,"5,890",240,4.25,"48,473,669,250"
024840,KBI메탈,KOSDAQ,금속,"1,700",40,2.41,"56,016,441,600"
024120,KB오토시스,KOSDAQ,운송장비·부품,"5,650",170,3.10,"64,975,000,000"
021320,KCC건설,KOSDAQ,건설,"6,550",0,0.00,"140,170,000,000"
036670,KCI,KOSDAQ,화학,"8,020",170,2.17,"90,385,400,000"
044180,KD,KOSDAQ,건설,"1,010",5,0.50,"25,097,127,410"
151860,KG ETS,KOSDAQ,기타서비스,"15,050",-200,-1.31,"541,800,000,000"
046440,KG모빌리언스,KOSDAQ,소프트웨어,"6,750",20,0.30,"262,072,584,000"
035600,KG이니시스,KOSDAQ,소프트웨어,"13,200",0,0.00,"368,338,528,800"
226360,KH 건설,KOSDAQ,건설,850,-20,-2.30,"95,462,830,200"
111870,KH 전자,KOSDAQ,일반전기전자,764,-16,-2.05,"104,932,925,404"
