종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,"6,820",60,0.89,"319,328,051,900"
006840,AK홀딩스,KOSPI,기타금융,"15,800",250,1.61,"209,311,463,800"
027410,BGF,KOSPI,기타금융,"4,075",-55,-1.33,"390,045,923,325"
282330,BGF리테일,KOSPI,유통업,"184,000","-4,500",-2.39,"3,180,238,704,000"
138930,BNK금융지주,KOSPI,기타금융,"6,450",-40,-0.62,"2,102,282,336,700"
001460,BYC,KOSPI,섬유의복,"404,500",-500,-0.12,"252,656,767,500"
001465,BYC우,KOSPI,섬유의복,"154,500",-500,-0.32,"33,276,982,500"
001040,CJ,KOSPI,기타금융,"77,700","1,700",2.24,"2,267,052,744,600"
079160,CJ CGV,KOSPI,서비스업,"21,400",800,3.88,"874,605,095,800"
00104K,CJ4우(전환),KOSPI,기타금융,"70,300",900,1.30,"297,123,793,600"
000120,CJ대한통운,KOSPI,운수창고업,"115,000","2,500",2.22,"2,623,419,560,000"
011150,CJ씨푸드,KOSPI,음식료품,"3,120",30,0.97,"112,104,011,760"
011155,CJ씨푸드1우,KOSPI,음식료품,"29,000",550,1.93,"5,800,000,000"
001045,CJ우,KOSPI,기타금융,"47,450",550,1.17,"107,247,581,350"
097950,CJ제일제당,KOSPI,음식료품,"403,000","4,500",1.13,"6,066,836,958,000"
097955,CJ제일제당 우,KOSPI,음식료품,"167,500","2,500",1.52,"222,345,027,500"
000590,CS홀딩스,KOSPI,기타금융,"59,500",100,0.17,"68,691,679,000"
012030,DB,KOSPI,서비스업,786,9,1.16,"158,122,711,338"
016610,DB금융투자,KOSPI,증권,"4,905",40,0.82,"208,199,538,045"
005830,DB손해보험,KOSPI,보험,"59,600",-800,-1.32,"4,219,680,000,000"
000990,DB하이텍,KOSPI,전기전자,"41,450",650,1.59,"1,840,321,472,600"
000995,DB하이텍1우,KOSPI,전기전자,"81,700","-3,300",-3.88,"9,176,217,200"
139130,DGB금융지주,KOSPI,기타금융,"7,580",80,1.07,"1,282,125,414,140"
001530,DI동일,KOSPI,유통업,"16,150",900,5.90,"412,927,560,500"
000210,DL,KOSPI,기타금융,"65,800","1,300",2.02,"1,378,897,167,200"
001880,DL건설,KOSPI,건설업,"20,300",0,0.00,"447,681,665,200"
000215,DL우,KOSPI,기타금융,"38,500",100,0.26,"64,915,427,500"
375500,DL이앤씨,KOSPI,건설업,"38,650",350,0.91,"1,495,508,528,950"
37550L,DL이앤씨2우(전환),KOSPI,건설업,"33,500",-100,-0.30,"70,750,358,500"
37550K,DL이앤씨우,KOSPI,건설업,"27,600",100,0.36,"58,343,226,000"
007340,DN오토모티브,KOSPI,전기전자,"50,000",-100,-0.20,"499,700,250,000"
004840,DRB동일,KOSPI,화학,"4,560",60,1.33,"90,880,800,000"
155660,DSR,KOSPI,철강금속,"5,220",60,1.16,"83,520,000,000"
069730,DSR제강,KOSPI,철강금속,"4,665",50,1.08,"67,176,000,000"
017940,E1,KOSPI,유통업,"44,500",550,1.25,"305,270,000,000"
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,"5,280",10,0.19,"1,125,109,920,000"
383220,F&F,KOSPI,섬유의복,"137,500","8,000",6.18,"5,267,222,812,500"
007700,F&F홀딩스,KOSPI,기타금융,"19,100","1,000",5.52,"747,084,409,700"
114090,GKL,KOSPI,서비스업,"13,300",200,1.53,"822,680,411,000"
078930,GS,KOSPI,기타금융,"39,200",350,0.90,"3,642,282,817,600"
006360,GS건설,KOSPI,건설업,"28,550",0,0.00,"2,443,351,539,500"
001250,GS글로벌,KOSPI,유통업,"3,480",75,2.20,"287,217,498,720"
007070,GS리테일,KOSPI,유통업,"24,400",250,1.04,"2,555,117,296,800"
078935,GS우,KOSPI,기타금융,"34,150",200,0.59,"60,951,807,900"
012630,HDC,KOSPI,기타금융,"6,440",-10,-0.16,"384,736,683,240"
039570,HDC랩스,KOSPI,건설업,"8,200",-70,-0.85,"212,852,328,200"
089470,HDC현대EP,KOSPI,화학,"3,765",20,0.53,"120,103,500,000"
294870,HDC현대산업개발,KOSPI,건설업,"10,950",0,0.00,"721,685,263,500"
267250,HD현대,KOSPI,화학,"51,700",300,0.58,"4,083,942,494,500"
097230,HJ중공업,KOSPI,건설업,"6,660",-80,-1.19,"554,606,711,460"
003580,HLB글로벌,KOSPI,광업,"10,200",-50,-0.49,"430,091,537,400"
011200,HMM,KOSPI,운수창고업,"23,600",50,0.21,"11,541,332,105,600"
082740,HSD엔진,KOSPI,기계,"8,250",-50,-0.60,"385,450,279,500"
003560,IHQ,KOSPI,서비스업,704,12,1.73,"109,000,918,400"
175330,JB금융지주,KOSPI,기타금융,"7,070",30,0.43,"1,392,669,060,580"
234080,JW생명과학,KOSPI,의약품,"13,350",50,0.38,"211,391,295,900"
001060,JW중외제약,KOSPI,의약품,"24,400",300,1.24,"541,145,176,400"
001067,JW중외제약2우B,KOSPI,의약품,"71,000","1,000",1.43,"7,307,817,000"
001065,JW중외제약우,KOSPI,의약품,"37,000","1,000",2.78,"6,761,195,000"
096760,JW홀딩스,KOSPI,기타금융,"3,400",10,0.29,"239,512,000,400"
105560,KB금융,KOSPI,기타금융,"45,300",-800,-1.74,"18,679,567,978,200"
002380,KCC,KOSPI,화학,"277,000","-3,000",-1.07,"2,461,552,467,000"
344820,KCC글라스,KOSPI,비금속광물,"43,900",500,1.15,"701,105,476,800"
009070,KCTC,KOSPI,운수창고업,"4,330",5,0.12,"129,900,000,000"
009440,KC그린홀딩스,KOSPI,기타금융,"4,875",10,0.21,"109,370,527,500"
119650,KC코트렐,KOSPI,기계,"4,080",80,2.00,"71,808,000,000"
092220,KEC,KOSPI,전기전자,"2,505",0,0.00,"362,594,093,205"
016380,KG스틸,KOSPI,철강금속,"12,400",50,0.40,"1,240,110,322,800"
016385,KG스틸우,KOSPI,철강금속,"16,600","-13,500",-44.85,"886,191,000"
001390,KG케미칼,KOSPI,화학,"24,450",-100,-0.41,"339,026,047,200"
033180,KH 필룩스,KOSPI,전기전자,"1,450",-55,-3.65,"222,198,842,450"
001940,KISCO홀딩스,KOSPI,철강금속,"13,600",100,0.74,"219,998,768,000"
025000,KPX케미칼,KOSPI,화학,"47,700",50,0.10,"230,868,000,000"
092230,KPX홀딩스,KOSPI,화학,"59,500",0,0.00,"251,366,437,000"
000040,KR모터스,KOSPI,운수장비,746,79,11.84,"71,718,672,726"
044450,KSS해운,KOSPI,운수창고업,"9,330",-160,-1.69,"215,391,260,400"
030200,KT,KOSPI,통신업,"37,150",-100,-0.27,"9,700,303,667,200"
033780,KT&G,KOSPI,기타제조업,"81,200",-800,-0.98,"11,148,150,756,400"
058850,KTcs,KOSPI,서비스업,"2,105",90,4.47,"89,851,925,000"
058860,KTis,KOSPI,서비스업,"2,575",45,1.78,"89,615,150,000"
093050,LF,KOSPI,섬유의복,"15,500",300,1.97,"453,220,000,000"
003550,LG,KOSPI,기타금융,"76,800",-100,-0.13,"12,080,716,262,400"
034220,LG디스플레이,KOSPI,전기전자,"14,900",250,1.71,"5,331,453,930,000"
